Part number,Part name,Additional name,Location,Total balance,Unit,WH,Serial number
1036131,Cylindrical pin CPK Ø8x50 m6 R2 bevel 45° R2,-Info: Note! not a standard part. Chamfered 45,FLOOR,2.00,Pcs,WH1,
1036201,Indicator pin S40S/QS/QSM/S/HYDS 610mm,"-Info: Information about cutting length, see instruction 9000737.",FLOOR,6.00,Pcs,WH1,
1036402,Axle grab cylinder against frame GRD45/50,,FLOOR,4.00,Pcs,WH1,
1036405,Ejector QS60,-Info: Deliver with instruction 9000491,FLOOR,8.00,Pcs,WH1,
1036406,Spacer QS45-60 V3,,FLOOR,6.00,Pcs,WH1,
1036413,Sensor plate QS60,,FLOOR,4.00,Pcs,WH1,
1036418,Spacer grab cylinder GRD45/50,,FLOOR,4.00,Pcs,WH1,
1036454,Lock arm GRD45/50,,FLOOR,2.00,Pcs,WH1,
1036480,Grab cylinder GRD45/50 right,"-Info: Replaced by 1076320 in production. 1036480 remain as spare part.
",FLOOR,2.00,Pcs,WH1,
1036481,Grab cylinder GRD45/50 left,"-Info: Replaced by 1076320 in production. 1036481 remain as spare part. 
",FLOOR,2.00,Pcs,WH1,
1036606,Yoke Bracket EC204/EC204B rear cast complete,,FLOOR,1.00,Pcs,WH1,
1036723,Axle Grab arm GRD45/50,-Info: Add 1pcs 1042068,FLOOR,4.00,Pcs,WH1,
1036953,Ejector QS45-QS50,-Info: Deliver with instruction 9000491,FLOOR,6.00,Pcs,WH1,
1036988,Sensor plate QS45-QS50,,FLOOR,3.00,Pcs,WH1,
1037048,"Eccenter GRD60,SWD60 ECO",,FLOOR,2.00,Pcs,WH1,
1037431,Locking hook QSM70/QS70/S70 V2 cast,-Info: Delivered with instruction 9000444,FLOOR,1.00,Pcs,WH1,
1037512,Bucket GB14-650-1600-S60 support,-Info: for GRD60 (GRD20),FLOOR,1.00,Pcs,WH1,EC086851
1037512,Bucket GB14-650-1600-S60 support,-Info: for GRD60 (GRD20),FLOOR,1.00,Pcs,WH1,EC086852
1037512,Bucket GB14-650-1600-S60 support,-Info: for GRD60 (GRD20),FLOOR,1.00,Pcs,WH1,EC086865
1037512,Bucket GB14-650-1600-S60 support,-Info: for GRD60 (GRD20),FLOOR,1.00,Pcs,WH1,EC086866
1038119,Mounting plate-ePS-Tilt sensor except Trimble-ECHF,,FLOOR,2.00,Pcs,WH1,
1038209,Spring lock arm GRD60/GRD70/SWD60,-Info: Stainless,FLOOR,2.00,Pcs,WH1,
1038210,Grab arm GRD45/50 left,,FLOOR,1.00,Pcs,WH1,
1038213,Grab arm GRD45/50 right,,FLOOR,1.00,Pcs,WH1,
1038388,"Eccenter GRD45/50,SWD45 ECO",,FLOOR,2.00,Pcs,WH1,
1038716,Support GRD45/50 standard,,FLOOR,1.00,Pcs,WH1,
1038762,Spring lock arm DIN2098 1.25x13.75x130 GRD40/45/50/SWD40/45,-Info: Stainless,FLOOR,2.00,Pcs,WH1,
1038793,Cylinder SWD arm Ø50/25-150,,FLOOR,1.00,Pcs,WH1,
1039018,Yoke Bracket EC233/EC333 cast grease-free,-Info: Uses MC6S 16x110,FLOOR,4.00,Pcs,WH1,
1039112,Tilt cylinder EC233/EC333 Ø90/45 for overcenter,,FLOOR,1.00,Pcs,WH1,
1039113,Piston rod-tilt cylinder-EC233,-Info: Tilt cylinder 1039112,FLOOR,1.00,Pcs,WH1,
1039334,Worm screw EC233/EC333,,FLOOR,1.00,Pcs,WH1,
1039544,"Seal swivel 80/91x4,2 PU",-Info: Deliver with 9000733,FLOOR,10.00,Pcs,WH1,
